id_wikidata	article	subject	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	first_edit	days	all_visits	VdQ	vetrina	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource
Q1	Universo	Ciencias del ambiente	1772	2087	61535	-	34	-	17	-	0	-	5628	9.15	-	0	-	0	0	30420	-	2003-04-27	7188	7881409	0	0	Universe		
Q1000462	Cálculo_relacional_basado_en_tuplas	Ciencias de la computación	3	4	13288	-	0	-	0	-	0	-	582	4.38	-	0	-	0	0	0	-	2015-03-21	2842	13124	0	0			
Q1001	Mahatma_Gandhi	Historia	2240	2471	53304	-	33	-	14	-	0	-	4353	8.17	-	0	-	0	0	9637	-	2003-08-14	7079	9991250	0	0	Mohandas K. Gandhi	Mohandas K. Gandhi	
Q1003	Solidaridad_(Polonia)	Historia	79	89	9432	-	5	-	5	-	0	-	2216	23.49	-	0	-	0	0	4983	-	2005-11-01	6269	202227	0	0	Solidarność		
Q1006733	Herbazal	Geografía	85	104	25312	-	25	-	6	-	0	-	2762	10.91	-	0	-	0	0	1134	-	2007-11-03	5537	355781	0	0	Grasslands		
Q101017	Destilación	Ciencias del ambiente	493	616	69308	-	46	-	21	-	0	-	4845	6.99	-	0	-	0	0	4662	-	2004-09-28	6668	3034395	0	0	Distillation		
Q101274	Protozoo	Ciencias del ambiente	650	845	16679	-	6	-	4	-	0	-	1340	8.03	-	0	-	0	0	11162	-	2003-10-16	7016	3386590	0	0	Protista		
Q10135	LibreOffice	Ciencias de la computación	172	215	122338	-	171	-	26	-	0	-	2580	2.11	-	0	-	0	0	15637	-	2010-09-28	4477	824206	0	0	LibreOffice		
Q101362	Homo_erectus	Historia	660	873	32448	-	53	-	6	-	0	-	2974	9.17	-	0	-	0	0	3052	-	2002-10-24	7373	2922753	0	0	Homo erectus		
Q101373	Homo_habilis	Historia	729	1016	23499	-	41	-	3	-	0	-	2608	11.1	-	0	-	0	0	5462	-	2004-01-22	6918	2928688	0	0	Homo habilis		
Q101395	Número_másico	Química	255	494	2110	-	1	-	0	-	0	-	1474	69.86	-	0	-	0	0	42	-	2005-03-27	6488	1527062	0	0			
